threshold,group,accuracy,fpr,fnr
0.25000000000000006,P,0.991869918699187,0.0,0.008130081300813009
0.25000000000000006,Q,1.0,0.0,0.0
0.25000000000000006,R,0.9954337899543378,0.0,0.0045662100456621
0.25000000000000006,S,0.9831932773109243,0.0,0.01680672268907563
0.25000000000000006,T,0.9977528089887641,0.0,0.0022471910112359553
0.25000000000000006,U,1.0,0.0,0.0
0.25000000000000006,V,1.0,0.0,0.0
0.25000000000000006,W,1.0,0.0,0.0
0.25000000000000006,X,1.0,0.0,0.0
0.25000000000000006,Y,1.0,0.0,0.0
0.25000000000000006,Z,0.9583333333333334,0.0,0.041666666666666664
0.25000000000000006,mixed,0.9998654286098776,0.00013457139012245997,0.0
0.26000000000000006,A,0.9983870967741936,0.0,0.0016129032258064516
0.26000000000000006,B,0.996,0.0,0.004
0.26000000000000006,C,0.9944547134935305,0.0,0.005545286506469501
0.26000000000000006,D,0.9818181818181818,0.0,0.01818181818181818
0.26000000000000006,E,0.9929078014184397,0.0,0.0070921985815602835
0.26000000000000006,F,1.0,0.0,0.0
0.26000000000000006,G,0.9957127545551983,0.0,0.004287245444801715
0.26000000000000006,H,1.0,0.0,0.0
0.26000000000000006,I,1.0,0.0,0.0
0.26000000000000006,J,0.9981634527089073,0.0,0.0018365472910927456
0.26000000000000006,K,1.0,0.0,0.0
0.26000000000000006,L,0.9970149253731343,0.0,0.0029850746268656717
0.26000000000000006,M,0.9901768172888016,0.0,0.009823182711198428
0.26000000000000006,N,0.9895833333333334,0.0,0.010416666666666666
0.26000000000000006,O,1.0,0.0,0.0
0.26000000000000006,P,0.991869918699187,0.0,0.008130081300813009
0.26000000000000006,Q,1.0,0.0,0.0
0.26000000000000006,R,0.9954337899543378,0.0,0.0045662100456621
0.26000000000000006,S,0.9831932773109243,0.0,0.01680672268907563
0.26000000000000006,T,0.9977528089887641,0.0,0.0022471910112359553
0.26000000000000006,U,1.0,0.0,0.0
0.26000000000000006,V,1.0,0.0,0.0
0.26000000000000006,W,1.0,0.0,0.0
0.26000000000000006,X,1.0,0.0,0.0
0.26000000000000006,Y,1.0,0.0,0.0
