threshold,group,accuracy,fpr,fnr
0.23000000000000004,E,0.9929078014184397,0.0,0.0070921985815602835
0.23000000000000004,F,1.0,0.0,0.0
0.23000000000000004,G,1.0,0.0,0.0
0.23000000000000004,H,1.0,0.0,0.0
0.23000000000000004,I,1.0,0.0,0.0
0.23000000000000004,J,1.0,0.0,0.0
0.23000000000000004,K,1.0,0.0,0.0
0.23000000000000004,L,0.9941002949852508,0.0,0.0058997050147492625
0.23000000000000004,M,0.9921875,0.0,0.0078125
0.23000000000000004,N,0.979381443298969,0.0,0.020618556701030927
0.23000000000000004,O,1.0,0.0,0.0
0.23000000000000004,P,1.0,0.0,0.0
0.23000000000000004,Q,1.0,0.0,0.0
0.23000000000000004,R,0.9954648526077098,0.0,0.0045351473922902496
0.23000000000000004,S,0.9944444444444445,0.0,0.005555555555555556
0.23000000000000004,T,0.9955654101995566,0.0,0.004434589800443459
0.23000000000000004,U,1.0,0.0,0.0
0.23000000000000004,V,1.0,0.0,0.0
0.23000000000000004,W,0.9791666666666666,0.0,0.020833333333333332
0.23000000000000004,X,1.0,0.0,0.0
0.23000000000000004,Y,1.0,0.0,0.0
0.23000000000000004,Z,1.0,0.0,0.0
0.23000000000000004,mixed,0.8719935863174773,0.12800641368252272,0.0
0.24000000000000005,A,0.9919614147909968,0.0,0.008038585209003215
0.24000000000000005,B,1.0,0.0,0.0
0.24000000000000005,C,0.996316758747698,0.0,0.003683241252302026
0.24000000000000005,D,0.993993993993994,0.0,0.006006006006006006
0.24000000000000005,E,0.9929078014184397,0.0,0.0070921985815602835
0.24000000000000005,F,1.0,0.0,0.0
0.24000000000000005,G,1.0,0.0,0.0
0.24000000000000005,H,1.0,0.0,0.0
0.24000000000000005,I,1.0,0.0,0.0
0.24000000000000005,J,1.0,0.0,0.0
0.24000000000000005,K,1.0,0.0,0.0
0.24000000000000005,L,0.9941002949852508,0.0,0.0058997050147492625
0.24000000000000005,M,0.9921875,0.0,0.0078125
0.24000000000000005,N,0.979381443298969,0.0,0.020618556701030927
0.24000000000000005,O,1.0,0.0,0.0
0.24000000000000005,P,1.0,0.0,0.0
0.24000000000000005,Q,1.0,0.0,0.0
0.24000000000000005,R,0.9954648526077098,0.0,0.0045351473922902496
0.24000000000000005,S,0.9944444444444445,0.0,0.005555555555555556
0.24000000000000005,T,0.9955654101995566,0.0,0.004434589800443459
0.24000000000000005,U,1.0,0.0,0.0
0.24000000000000005,V,1.0,0.0,0.0
0.24000000000000005,W,0.9791666666666666,0.0,0.020833333333333332
0.24000000000000005,X,1.0,0.0,0.0
0.24000000000000005,Y,1.0,0.0,0.0
0.24000000000000005,Z,1.0,0.0,0.0
0.24000000000000005,mixed,0.8833511491181186,0.11664885088188134,0.0
0.25000000000000006,A,0.9903536977491961,0.0,0.00964630225080386
0.25000000000000006,B,1.0,0.0,0.0
0.25000000000000006,C,0.994475138121547,0.0,0.0055248618784530384
0.25000000000000006,D,0.990990990990991,0.0,0.009009009009009009
0.25000000000000006,E,0.9929078014184397,0.0,0.0070921985815602835
0.25000000000000006,F,1.0,0.0,0.0
0.25000000000000006,G,1.0,0.0,0.0
0.25000000000000006,H,1.0,0.0,0.0
0.25000000000000006,I,1.0,0.0,0.0
0.25000000000000006,J,1.0,0.0,0.0
0.25000000000000006,K,1.0,0.0,0.0
0.25000000000000006,L,0.9941002949852508,0.0,0.0058997050147492625
0.25000000000000006,M,0.9921875,0.0,0.0078125
0.25000000000000006,N,0.9742268041237113,0.0,0.02577319587628866
0.25000000000000006,O,1.0,0.0,0.0
0.25000000000000006,P,1.0,0.0,0.0
0.25000000000000006,Q,1.0,0.0,0.0
0.25000000000000006,R,0.9954648526077098,0.0,0.0045351473922902496
0.25000000000000006,S,0.9944444444444445,0.0,0.005555555555555556
0.25000000000000006,T,0.9955654101995566,0.0,0.004434589800443459
0.25000000000000006,U,1.0,0.0,0.0
0.25000000000000006,V,1.0,0.0,0.0
0.25000000000000006,W,0.9791666666666666,0.0,0.020833333333333332
0.25000000000000006,X,1.0,0.0,0.0
0.25000000000000006,Y,1.0,0.0,0.0
0.25000000000000006,Z,1.0,0.0,0.0
0.25000000000000006,mixed,0.8927044361304115,0.10729556386958845,0.0
0.26000000000000006,A,0.9903536977491961,0.0,0.00964630225080386
0.26000000000000006,B,0.996,0.0,0.004
0.26000000000000006,C,0.994475138121547,0.0,0.0055248618784530384
0.26000000000000006,D,0.987987987987988,0.0,0.012012012012012012
0.26000000000000006,E,0.9929078014184397,0.0,0.0070921985815602835
0.26000000000000006,F,1.0,0.0,0.0
0.26000000000000006,G,1.0,0.0,0.0
0.26000000000000006,H,1.0,0.0,0.0
0.26000000000000006,I,1.0,0.0,0.0
0.26000000000000006,J,1.0,0.0,0.0
0.26000000000000006,K,1.0,0.0,0.0
0.26000000000000006,L,0.9911504424778761,0.0,0.008849557522123894
0.26000000000000006,M,0.9921875,0.0,0.0078125
0.26000000000000006,N,0.9742268041237113,0.0,0.02577319587628866
0.26000000000000006,O,1.0,0.0,0.0
0.26000000000000006,P,1.0,0.0,0.0
0.26000000000000006,Q,1.0,0.0,0.0
0.26000000000000006,R,0.9931972789115646,0.0,0.006802721088435374
0.26000000000000006,S,0.9916666666666667,0.0,0.008333333333333333
0.26000000000000006,T,0.9955654101995566,0.0,0.004434589800443459
0.26000000000000006,U,1.0,0.0,0.0
0.26000000000000006,V,1.0,0.0,0.0
0.26000000000000006,W,0.9791666666666666,0.0,0.020833333333333332
0.26000000000000006,X,1.0,0.0,0.0
0.26000000000000006,Y,1.0,0.0,0.0
0.26000000000000006,Z,1.0,0.0,0.0
0.26000000000000006,mixed,0.905264564404062,0.094735435595938,0.0
0.2700000000000001,A,0.9903536977491961,0.0,0.00964630225080386
0.2700000000000001,B,0.996,0.0,0.004
0.2700000000000001,C,0.994475138121547,0.0,0.0055248618784530384
0.2700000000000001,D,0.987987987987988,0.0,0.012012012012012012
0.2700000000000001,E,0.9929078014184397,0.0,0.0070921985815602835
0.2700000000000001,F,1.0,0.0,0.0
0.2700000000000001,G,1.0,0.0,0.0
0.2700000000000001,H,1.0,0.0,0.0
0.2700000000000001,I,1.0,0.0,0.0
0.2700000000000001,J,1.0,0.0,0.0
0.2700000000000001,K,1.0,0.0,0.0
0.2700000000000001,L,0.9911504424778761,0.0,0.008849557522123894
0.2700000000000001,M,0.9921875,0.0,0.0078125
0.2700000000000001,N,0.9742268041237113,0.0,0.02577319587628866
0.2700000000000001,O,1.0,0.0,0.0
0.2700000000000001,P,0.9919678714859438,0.0,0.008032128514056224
0.2700000000000001,Q,1.0,0.0,0.0
0.2700000000000001,R,0.9931972789115646,0.0,0.006802721088435374
0.2700000000000001,S,0.9916666666666667,0.0,0.008333333333333333
0.2700000000000001,T,0.9955654101995566,0.0,0.004434589800443459
0.2700000000000001,U,1.0,0.0,0.0
0.2700000000000001,V,1.0,0.0,0.0
0.2700000000000001,W,0.9791666666666666,0.0,0.020833333333333332
0.2700000000000001,X,1.0,0.0,0.0
0.2700000000000001,Y,1.0,0.0,0.0
0.2700000000000001,Z,1.0,0.0,0.0
0.2700000000000001,mixed,0.9154195617316943,0.08458043826830572,0.0
0.2800000000000001,A,0.9903536977491961,0.0,0.00964630225080386
0.2800000000000001,B,0.996,0.0,0.004
0.2800000000000001,C,0.994475138121547,0.0,0.0055248618784530384
0.2800000000000001,D,0.987987987987988,0.0,0.012012012012012012
0.2800000000000001,E,0.9929078014184397,0.0,0.0070921985815602835
0.2800000000000001,F,1.0,0.0,0.0
0.2800000000000001,G,1.0,0.0,0.0
0.2800000000000001,H,1.0,0.0,0.0
0.2800000000000001,I,1.0,0.0,0.0
0.2800000000000001,J,0.999083409715857,0.0,0.0009165902841429881
0.2800000000000001,K,1.0,0.0,0.0
0.2800000000000001,L,0.9911504424778761,0.0,0.008849557522123894
0.2800000000000001,M,0.9921875,0.0,0.0078125
0.2800000000000001,N,0.9742268041237113,0.0,0.02577319587628866
0.2800000000000001,O,1.0,0.0,0.0
0.2800000000000001,P,0.9919678714859438,0.0,0.008032128514056224
0.2800000000000001,Q,1.0,0.0,0.0
0.2800000000000001,R,0.9931972789115646,0.0,0.006802721088435374
0.2800000000000001,S,0.9888888888888889,0.0,0.011111111111111112
0.2800000000000001,T,0.9955654101995566,0.0,0.004434589800443459
0.2800000000000001,U,1.0,0.0,0.0
0.2800000000000001,V,1.0,0.0,0.0
0.2800000000000001,W,0.9791666666666666,0.0,0.020833333333333332
0.2800000000000001,X,1.0,0.0,0.0
0.2800000000000001,Y,1.0,0.0,0.0
0.2800000000000001,Z,1.0,0.0,0.0
0.2800000000000001,mixed,0.9246392303580973,0.07536076964190272,0.0
0.2900000000000001,A,0.9887459807073955,0.0,0.011254019292604502
0.2900000000000001,B,0.996,0.0,0.004
0.2900000000000001,C,0.994475138121547,0.0,0.0055248618784530384
0.2900000000000001,D,0.987987987987988,0.0,0.012012012012012012
0.2900000000000001,E,0.9929078014184397,0.0,0.0070921985815602835
0.2900000000000001,F,1.0,0.0,0.0
0.2900000000000001,G,1.0,0.0,0.0
0.2900000000000001,H,1.0,0.0,0.0
0.2900000000000001,I,1.0,0.0,0.0
0.2900000000000001,J,0.998166819431714,0.0,0.0018331805682859762
0.2900000000000001,K,1.0,0.0,0.0
0.2900000000000001,L,0.9911504424778761,0.0,0.008849557522123894
0.2900000000000001,M,0.9921875,0.0,0.0078125
0.2900000000000001,N,0.9742268041237113,0.0,0.02577319587628866
0.2900000000000001,O,1.0,0.0,0.0
0.2900000000000001,P,0.9919678714859438,0.0,0.008032128514056224
0.2900000000000001,Q,1.0,0.0,0.0
0.2900000000000001,R,0.9931972789115646,0.0,0.006802721088435374
0.2900000000000001,S,0.9888888888888889,0.0,0.011111111111111112
0.2900000000000001,T,0.9955654101995566,0.0,0.004434589800443459
0.2900000000000001,U,1.0,0.0,0.0
0.2900000000000001,V,1.0,0.0,0.0
0.2900000000000001,W,0.9791666666666666,0.0,0.020833333333333332
0.2900000000000001,X,1.0,0.0,0.0
0.2900000000000001,Y,1.0,0.0,0.0
0.2900000000000001,Z,1.0,0.0,0.0
0.2900000000000001,mixed,0.9319882415820417,0.06801175841795831,0.0
0.3000000000000001,A,0.9887459807073955,0.0,0.011254019292604502
0.3000000000000001,B,0.996,0.0,0.004
0.3000000000000001,C,0.994475138121547,0.0,0.0055248618784530384
0.3000000000000001,D,0.987987987987988,0.0,0.012012012012012012
0.3000000000000001,E,0.9929078014184397,0.0,0.0070921985815602835
0.3000000000000001,F,1.0,0.0,0.0
0.3000000000000001,G,1.0,0.0,0.0
0.3000000000000001,H,1.0,0.0,0.0
